年齢,男cm,kg,女性cm,kg,
1歳,79.6,10.3,76.6,9.7
2歳,89,12.2,88.2,12.3
3歳,95.6,13.8,95.7,13.9
4歳,103.7,16.4,102.9,16.5
5歳,110.5,18.2,107.5,17.7
6歳,114.9,20.6,114.7,20.4
7歳,122.7,24.7,121.1,21.8
8歳,126.3,25.8,125.5,25.9
9歳,132.5,30.1,133.1,30.4
10歳,138.1,33.9,138.7,32.2
11歳,147.2,41.3,144,36.5
12歳,148,41.3,150.9,41.9
13歳,156.5,44.7,154.8,48.8
14歳,166.8,56.1,155.5,48.4
15歳,169.3,59.2,159.2,51.2
16歳,168.9,60.8,158,48.9
17歳,171.5,64,158.4,52.6
18歳,171.1,61.2,156,49.6
19歳,170.4,60.6,156.7,48.7
20歳,170.2,57,158.6,49
21歳,168.7,64.8,158.7,54.6
22歳,172.3,65.3,159,52.3
23歳,171.6,72.7,155.9,51.3
24歳,172.7,68.6,155.9,49.2
25歳,171.3,63.6,156.9,52.4
26-29歳,171.8,70.4,157.9,53.4
30-39歳,171.5,70,158.2,54.3
40-49歳,171.5,72.8,158.1,55.6
50-59歳,169.9,71,156.9,55.2
60-69歳,167.4,67.3,154,54.7
70歳以上,163.1,62.4,149.4,51.1
